INFO 2023-09-12 16:40:55,247 autoreload 17096 14752 Watching for file changes with StatReloader
WARNING 2023-09-17 07:50:51,898 log 14740 25500 Not Found: /favicon.ico
WARNING 2023-09-17 07:50:52,049 basehttp 14740 25500 "GET /favicon.ico HTTP/1.1" 404 3957
WARNING 2023-09-17 07:50:53,723 log 14740 25940 Not Found: /favicon.ico
WARNING 2023-09-17 07:50:53,724 basehttp 14740 25940 "GET /favicon.ico HTTP/1.1" 404 3957
INFO 2023-09-17 07:51:04,674 basehttp 14740 13140 "GET /admin/ HTTP/1.1" 302 0
INFO 2023-09-17 07:51:04,722 basehttp 14740 13140 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3228
INFO 2023-09-17 07:51:04,742 basehttp 14740 13140 "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2023-09-17 07:51:04,748 basehttp 14740 14732 "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2023-09-17 07:51:04,752 basehttp 14740 13140 "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
INFO 2023-09-17 07:51:04,752 basehttp 14740 22368 "GET /static/vendor/bootswatch/darkly/bootstrap.min.css HTTP/1.1" 304 0
INFO 2023-09-17 07:51:04,753 basehttp 14740 8076 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2023-09-17 07:51:04,753 basehttp 14740 1148 "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2023-09-17 07:51:04,771 basehttp 14740 13140 "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
INFO 2023-09-17 07:51:04,815 basehttp 14740 13140 "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
INFO 2023-09-17 07:51:04,884 basehttp 14740 13140 "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2023-09-17 07:51:16,369 basehttp 14740 13140 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2023-09-17 07:51:16,452 basehttp 14740 13140 "GET /admin/ HTTP/1.1" 200 16988
INFO 2023-09-17 07:51:16,525 basehttp 14740 13140 "GET /static/jazzmin/js/main.js HTTP/1.1" 200 2391
INFO 2023-09-17 07:51:16,530 basehttp 14740 1148 "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13276
INFO 2023-09-17 07:51:30,877 basehttp 14740 1148 "GET /admin/auth/group/ HTTP/1.1" 200 13131
INFO 2023-09-17 07:51:30,899 basehttp 14740 14732 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2023-09-17 07:51:30,900 basehttp 14740 22368 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2023-09-17 07:51:30,900 basehttp 14740 15204 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2023-09-17 07:51:30,900 basehttp 14740 8076 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2023-09-17 07:51:30,900 basehttp 14740 1148 "GET /static/vendor/select2/css/select2.min.css HTTP/1.1" 200 16264
INFO 2023-09-17 07:51:30,906 basehttp 14740 15204 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2023-09-17 07:51:30,906 basehttp 14740 14732 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2023-09-17 07:51:30,906 basehttp 14740 22368 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2023-09-17 07:51:30,910 basehttp 14740 13140 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
INFO 2023-09-17 07:51:30,933 basehttp 14740 22368 "GET /static/jazzmin/js/change_list.js HTTP/1.1" 200 2252
INFO 2023-09-17 07:51:30,934 basehttp 14740 13140 "GET /static/vendor/select2/js/select2.min.js HTTP/1.1" 200 73170
INFO 2023-09-17 07:51:33,609 basehttp 14740 13140 "GET /admin/hw_app/product/ HTTP/1.1" 200 21684
INFO 2023-09-17 07:51:33,627 basehttp 14740 13140 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
INFO 2023-09-17 07:51:33,630 basehttp 14740 22368 "GET /media/default.png HTTP/1.1" 200 6458
WARNING 2023-09-17 07:51:33,641 log 14740 22368 Not Found: /media/product_image/19655-091602-ae5051e1d3c5550027601cacf4ca7bab.jpg
WARNING 2023-09-17 07:51:33,642 basehttp 14740 22368 "GET /media/product_image/19655-091602-ae5051e1d3c5550027601cacf4ca7bab.jpg HTTP/1.1" 404 4266
INFO 2023-09-17 07:51:41,752 basehttp 14740 22368 "GET /admin/hw_app/order/ HTTP/1.1" 200 22132
INFO 2023-09-17 07:51:41,771 basehttp 14740 22368 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
INFO 2023-09-17 07:51:51,673 basehttp 14740 22368 "GET /admin/hw_app/customer/ HTTP/1.1" 200 21479
INFO 2023-09-17 07:51:51,696 basehttp 14740 22368 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
INFO 2023-09-17 07:51:59,079 basehttp 14740 22368 "GET /admin/auth/user/ HTTP/1.1" 200 19719
INFO 2023-09-17 07:51:59,101 basehttp 14740 13140 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2023-09-17 07:51:59,101 basehttp 14740 22368 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
INFO 2023-09-17 07:51:59,648 basehttp 14740 22368 "GET /admin/auth/group/ HTTP/1.1" 200 13131
INFO 2023-09-17 07:51:59,668 basehttp 14740 22368 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
INFO 2023-09-17 07:52:00,571 basehttp 14740 22368 "GET /admin/hw_app/customer/ HTTP/1.1" 200 21479
INFO 2023-09-17 07:52:00,588 basehttp 14740 22368 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
INFO 2023-09-17 07:52:01,156 basehttp 14740 22368 "GET /admin/hw_app/order/ HTTP/1.1" 200 22132
INFO 2023-09-17 07:52:01,177 basehttp 14740 22368 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
INFO 2023-09-17 07:52:01,568 basehttp 14740 22368 "GET /admin/hw_app/product/ HTTP/1.1" 200 21684
INFO 2023-09-17 07:52:01,587 basehttp 14740 22368 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
WARNING 2023-09-17 07:52:01,596 log 14740 13140 Not Found: /media/product_image/19655-091602-ae5051e1d3c5550027601cacf4ca7bab.jpg
WARNING 2023-09-17 07:52:01,596 basehttp 14740 13140 "GET /media/product_image/19655-091602-ae5051e1d3c5550027601cacf4ca7bab.jpg HTTP/1.1" 404 4266
